OPD,Day,Clinic,Diagnosis and Condition
Retina,,จอประสาทตา,ERM : Epiretinal Membrane
9,Monday,,ไฝ/ติ่งเนื้อ/หูด ประสงค์รักษาด้วยยา
9,Tuesday,,ไฝ/ติ่งเนื้อ/หูด ประสงค์รักษาด้วยยา
9,Wednesday,,ไฝ/ติ่งเนื้อ/หูด ประสงค์รักษาด้วยยา
9,Thursday,,ไฝ/ติ่งเนื้อ/หูด ประสงค์รักษาด้วยยา
9,Friday,,ไฝ/ติ่งเนื้อ/หูด ประสงค์รักษาด้วยยา
9,Tuesday,,Adrenal mass Adrenal Vein Sampling (AVS)
9,Thursday,,Adrenal mass Adrenal Vein Sampling (AVS)
9,Tuesday,,Adrenal mass Biopsy
9,Thursday,,Adrenal mass Biopsy
9,,Neuro.Med,Refer Neuro med มหาราชฯ ครั้งแรก
9,,Neuro.Med,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับ
9,,Neuro.Med,อายุรกรรมทางระบบประสาท เช่น Stroke Dementia
9,,Neuro.Med,Parkinson Migraine เป็นต้น
9,,Neuro.Med,ผู้ป่วยใหม่สงสัยโรคอายุรกรรมทางระบบประสาท
9,,Neuro.Med,ผู้ป่วยเดิม OPD21(Neuro) ผิดนัดเกิน 1 ปี
9,,Hemato,Refer Hemato มหาราชฯ
9,,Hemato,Lab CBC ผิดปกติประสงค์พบแพทย์
9,,Hemato,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับอายุรกรรมโรคเลือด
9,,Hemato,ผู้ป่วยเดิม OPD23(Hemato) ผิดนัดมีอาการ / ยาหมด
9,,Cardio,Refer Cardio มหาราชฯ
9,,Cardio,ผล EKG Abnormal
9,,Cardio,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับอายุรกรรมโรคหัวใจ แต่ไม่มีประวัติการักษา /บันทึกข้อความ / หนังสือส่งตัว
9,,Cardio,ผู้ป่วยเดิม OPD22(Cardio) ผิดนัดมีอาการ / ยาหมด
9,,Endocine,ผู้ป่วยใหม่ประสงค์ย้ายมารักษาต่อมีเอกสาร refer บันทึกข้อความ / ประวัติการรักษาที่ ไม่ได้ระบุ I131
9,,Endocine,โรคอ้วน
9,,Endocine,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับ อายุรกรรมต่อมไร้ท่อหรือไทรอยด์ แต่ไม่มีประวัติการรักษา / บันทึกข้อความ / หนังสือส่งตัว
9,,Onco,Refer Oncologist
9,,Onco,Multiple metastasis
9,,Onco,CMT
9,,Onco,Systemic therapy
9,,Onco,Target therapy
9,,Onco,New Case CA refer consult for palliative
9,,Onco,New Case CA refer consult for pain clinic
9,,Nephro,Refer Nephro มหาราชฯ
9,,Nephro,ค่าไตผิดปกติประสงค์พบแพทย์
9,,Nephro,ปัสสาวะมีลักษณะผิดปกติ เช่น ปัสสาวะเป็นฟอง ปัสสาวะบ่อย ปัสสาวะสีเข้ม แต่ไม่มี อาการปวดหน่วงท้องน้อย / ปัสสาวะแสบขัดร่วม
9,,Nephro,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับอายุรกรรมโรคไต
9,,Nephro,ผู้ป่วยเดิม OPD26(Nephro) ผิดนัดนัดมีอาการ / ยาหมด
9,,GI,Refer GI med มหาราชฯ
9,,GI,Stool occult blood positive ประสงค์พบแพทย์
9,,GI,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับอายุรกรรมโรคทางเดินอาหาร
9,,GI,ผู้ป่วยเดิม OPD23(GI) ผิดนัดมีอาการ / ยาหมด
9,,Rheumato,Refer Rheumatologist มหาราชฯ
9,,Rheumato,มีอาการปวดข้อต่างๆตามร่างกายหลายข้อร่วมกัน
9,,Rheumato,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับอายุรกรรมโรคข้อและรูมาติสซั่ม
9,,Rheumato,ผู้ป่วยเดิม OPD22(Rheumato) ผิดนัดมีอาการ / ยาหมด
9,,Chest,Refer Chest med มหาราชฯ
9,,Chest,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับอายุรกรรมโรคปอด
9,,Chest,ผู้ป่วยเดิม OPD22(Chest) ผิดนัดมีอาการ / ยาหมด
10,,Spine,Refer Ortho Spine มหาราชฯ
10,,Spine,กระดูกหลังคด
10,,Spine,กระดูกทับเส้นประสาท
10,,Spine,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับโรคกระดูก ข้อ เอ็น และกล้ามเนื้อ
10,,Spine,ผู้ป่วยเดิม OPD10 ผิดนัดมีอาการ / ยาหมด
10,,Hand,Refer Ortho HAND มหาราชฯ
10,,Hand,Lesion บริเวณมือและข้อมือ เช่น ก้อน / แผล เป็นต้น
10,,Hand,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับโรคกระดูก ข้อ เอ็น และกล้ามเนื้อ
10,,Hand,ผู้ป่วยเดิม OPD10 ผิดนัดมีอาการ / ยาหมด
10,,Adult,Refer Ortho มหาราชฯ
10,,Adult,ปวดเข่า เข่าเสื่อม
10,,Adult,กระดูกพรุน
10,,Adult,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับโรคกระดูก ข้อ เอ็น และกล้ามเนื้อ
10,,Adult,ผู้ป่วยเดิม OPD10 ผิดนัดมีอาการ / ยาหมด
10,,Trauma,Refer Ortho Trauma มหาราชฯ
10,,Trauma,กระดูกหักจากการประสบอุบัติเหตุ
10,,Trauma,ACL injury
10,,Trauma,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับโรคกระดูก ข้อ เอ็น และกล้ามเนื้อ
10,,Trauma,ผู้ป่วยเดิม OPD10 ผิดนัดมีอาการ / ยาหมด
10,,Ortho Tumor,Refer Ortho Tumor มหาราชฯ
10,,Ortho Tumor,มะเร็งที่มีการแพร่กระจายไปยังกระดูก
10,,Ortho Tumor,ก้อนบริเวณกระดูก
10,,Ortho Tumor,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับโรคกระดูก ข้อ เอ็น และกล้ามเนื้อ
10,,Ortho Tumor,ผู้ป่วยเดิม OPD10 ผิดนัดมีอาการ / ยาหมด
10,,Foot,Refer Ortho มหาราชฯ
10,,Foot,รองช้ำ
10,,Foot,เท้าแบน
10,,Foot,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับโรคกระดูก ข้อ เอ็น และกล้ามเนื้อ
10,,Foot,ผู้ป่วยเดิม OPD10 ผิดนัดมีอาการ / ยาหมด
10,,Ankle,Refer Ortho มหาราชฯ
10,,Ankle,รองช้ำ
10,,Ankle,เท้าแบน
10,,Ankle,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับโรคกระดูก ข้อ เอ็น และกล้ามเนื้อ
10,,Ankle,ผู้ป่วยเดิม OPD10 ผิดนัดมีอาการ / ยาหมด
